item_id,kind,path_or_url,exists_checked_2026_05_13,include_in_public_repo,redistribution_status,manuscript_dependency,verification_or_next_action
GM_DERIVED_01,derived_metadata,scaffold/data/ground_motions/_derived/gm_manifest.csv,TRUE,CONDITIONAL,Derived metadata. Exclude raw third-party records. Source-rights note still needs author confirmation.,Figure 2 and Section 7,Audit columns before public release
GM_DERIVED_02,derived_metadata,scaffold/data/ground_motions/_derived/nf28_sorted_manifest.csv,TRUE,CONDITIONAL,Derived metadata. Include only if metadata redistribution is approved.,Sections 3.1 4.5 and 7,Confirm source-rights boundary
GM_DERIVED_03,derived_metadata,scaffold/data/ground_motions/_derived/spectral_shape_index.csv,TRUE,CONDITIONAL,Derived metadata. Include after provenance audit.,Figure 2 and Section 7,Audit provenance fields
FORMAL_PILOT_01,derived_results,scaffold/data/formal_pilot_v1/figures/formal_pilot_v1_summary.csv,TRUE,YES,Derived result table.,Figure 3 and Section 7,Include in package manifest
EXPANDED_V2_01,derived_results,scaffold/data/expanded_pilot_v2/figures/expanded_pilot_v2_summary.csv,TRUE,YES,Derived result table.,Figures 6-7 and Section 7,Include in package manifest
EXPANDED_V2_02,derived_results,scaffold/data/expanded_pilot_v2/figures/protocol_effect_ledger.csv,TRUE,YES,Derived protocol-effect ledger.,Section 4.4 and Section 7,Include in package manifest
SENS_V3_01,derived_results,scaffold/data/sensitivity_v3/figures/sensitivity_v3_summary.csv,TRUE,YES,Derived result table.,Figure 8 and Section 7,Include in package manifest
SENS_V3_02,derived_results,scaffold/data/sensitivity_v3/figures/sensitivity_v3_protocol_effect_ledger.csv,TRUE,YES,Derived protocol-effect ledger.,Figure 8 and Section 7,Include in package manifest
THRESH_V4_01,derived_results,scaffold/data/threshold_sensitivity_v4/figures/threshold_sensitivity_v4_summary.csv,TRUE,YES,Derived threshold-sensitivity table.,Figure 9 and Section 7,Include in package manifest
THRESH_V4_02,derived_results,scaffold/data/threshold_sensitivity_v4/figures/threshold_sensitivity_v4_protocol_effect_ledger.csv,TRUE,YES,Derived threshold-sensitivity ledger.,Figure 10 and Section 7,Include in package manifest
